41.32.0.0,41.47.255.255,,
41.64.0.0,41.65.255.255,,
41.68.0.0,41.69.255.255,,
41.72.64.0,41.72.95.255,,
41.88.0.0,41.88.255.255,,
41.91.0.0,41.91.255.255,,
41.128.0.0,41.131.255.255,,
41.152.0.0,41.153.255.255,,
41.155.128.0,41.155.255.255,,
41.176.0.0,41.176.255.255,,
41.178.0.0,41.178.255.255,,
41.179.0.0,41.179.255.255,,
41.187.0.0,41.187.255.255,,
41.196.0.0,41.196.255.255,,
41.199.0.0,41.199.255.255,,
41.205.96.0,41.205.127.255,,
41.206.128.0,41.206.159.255,,
41.209.192.0,41.209.255.255,,
41.217.160.0,41.217.191.255,,
41.218.128.0,41.218.191.255,,
41.221.128.0,41.221.143.255,,
41.232.0.0,41.239.255.255,,
45.96.0.0,45.103.255.255,,
45.104.0.0,45.111.255.255,,
45.240.0.0,45.247.255.255,,
62.68.224.0,62.68.255.255,,
62.114.0.0,62.114.255.255,,
62.117.32.0,62.117.63.255,,
62.135.0.0,62.135.127.255,,
62.139.0.0,62.139.255.255,,
62.140.64.0,62.140.127.255,,
62.193.64.0,62.193.127.255,,
62.240.96.0,62.240.127.255,,
62.241.128.0,62.241.159.255,,
81.10.0.0,81.10.127.255,,
81.21.96.0,81.21.111.255,,
81.29.96.0,81.29.111.255,,
82.129.128.0,82.129.255.255,,
82.201.128.0,82.201.255.255,,
84.36.0.0,84.36.255.255,,
84.205.96.0,84.205.127.255,,
84.233.0.0,84.233.127.255,,
95.212.0.0,95.212.127.255,,
95.212.160.0,95.212.175.255,,
95.212.208.0,95.212.223.255,,
95.212.224.0,95.212.255.255,,
102.40.0.0,102.47.255.255,,
102.56.0.0,102.63.255.255,,
102.184.0.0,102.191.255.255,,
105.32.0.0,105.47.255.255,,
105.80.0.0,105.95.255.255,,
105.180.0.0,105.183.255.255,,
105.192.0.0,105.195.255.255,,
105.196.0.0,105.199.255.255,,
105.200.0.0,105.207.255.255,,
154.128.0.0,154.143.255.255,,
154.176.0.0,154.191.255.255,,
154.236.0.0,154.239.255.255,,
155.11.0.0,155.11.255.255,,
155.12.128.0,155.12.191.255,,
156.160.0.0,156.191.255.255,,
156.192.0.0,156.223.255.255,,
163.121.0.0,163.121.255.255,,
193.227.0.0,193.227.63.255,,
194.79.96.0,194.79.127.255,,
195.43.0.0,195.43.31.255,,
195.246.32.0,195.246.63.255,,
196.2.192.0,196.2.223.255,,
196.20.32.0,196.20.63.255,,
196.128.0.0,196.159.255.255,,
196.202.0.0,196.202.127.255,,
196.204.0.0,196.204.255.255,,
196.205.0.0,196.205.255.255,,
196.218.0.0,196.219.255.255,,
196.221.0.0,196.221.255.255,,
197.32.0.0,197.63.255.255,,
197.120.0.0,197.127.255.255,,
197.132.0.0,197.135.255.255,,
197.150.0.0,197.151.255.255,,
197.160.0.0,197.167.255.255,,
197.192.0.0,197.199.255.255,,
197.222.0.0,197.223.255.255,,
197.246.0.0,197.246.255.255,,
212.12.224.0,212.12.255.255,,
212.103.160.0,212.103.191.255,,
212.122.224.0,212.122.255.255,,
213.131.64.0,213.131.95.255,,
213.152.64.0,213.152.95.255,,
213.154.32.0,213.154.63.255,,
213.158.160.0,213.158.191.255,,
213.181.224.0,213.181.255.255,,
213.212.192.0,213.212.255.255,,
217.20.224.0,217.20.239.255,,
217.52.0.0,217.55.255.255,,
217.139.0.0,217.139.255.255,,
